product_id,Total Quantity,Total Revenue,Total Cost,Total Profit
P0192,1.0,7.89,6.58,1.31
P0551,6.0,26.94,19.74,7.2
P0644,2.0,25.18,22.96,2.22
P0242,2.0,3.58,3.2,0.38
P0372,1.0,6.89,5.75,1.14
P0607,2.0,9.18,6.76,2.42
P0550,2.0,34.18,30.7,3.48
P0442,1.0,16.39,14.89,1.5
P0316,1.0,2.19,1.81,0.38
P0097,4.0,45.16,39.64,5.52
P0292,2.0,22.98,20.98,2.0
P0524,2.0,23.18,21.32,1.86
P0044,2.0,28.58,25.28,3.3
P0722,4.0,63.16,58.36,4.8
P0336,4.0,35.56,32.68,2.88
P0399,2.0,22.58,19.66,2.92
P0066,2.0,22.58,19.78,2.8
P0429,3.0,4.77,2.34,2.43
P0478,3.0,61.77,56.01,5.76
P0180,1.0,21.19,19.25,1.94
P0370,6.0,127.74,117.06,10.68
P0360,4.0,26.36,22.16,4.2
P0325,2.0,12.58,10.7,1.88
P0382,2.0,30.18,28.44,1.74
P0453,2.0,28.98,25.64,3.34
P0234,3.0,12.87,9.39,3.48
P0333,2.0,36.18,33.22,2.96
P0255,1.0,20.79,18.85,1.94
P0668,4.0,5.56,1.84,3.72
P0537,3.0,29.37,25.86,3.51
P0690,3.0,40.17,35.79,4.38
P0129,4.0,38.36,34.16,4.2
P0610,1.0,6.6,5.58,1.02
P0529,2.0,37.58,35.18,2.4
P0146,1.0,15.69,14.53,1.16
P0654,1.0,10.19,8.85,1.34
P0305,3.0,29.97,26.22,3.75
P0344,3.0,33.87,29.58,4.29
P0272,3.0,18.87,16.05,2.82
P0198,2.0,36.38,34.0,2.38
